DATE,TIME,STATE,DURATION,ENERGY DRAINED PERCENT,ENERGY DRAINED
2025-03-26,15:33:11,Active,2:16:01,52 %,38270.0
2025-03-26,17:49:13,Connected standby,0:15:44,1 %,761.0
2025-03-26,19:26:11,Connected standby,0:00:35,-,269.0
2025-03-26,19:26:47,Active,0:01:14,1 %,762.0
2025-03-26,19:28:01,Connected standby,0:00:00,-,0.0
2025-03-26,19:42:14,Connected standby,0:00:35,-,238.0
2025-03-26,19:42:49,Active,0:02:16,1 %,618.0
2025-03-26,20:16:15,Active,0:00:00,-,0.0
2025-03-26,20:24:59,Active,0:00:01,-,0.0
2025-03-26,20:28:06,Active,0:58:34,40 %,29627.0
2025-03-26,21:32:04,Active,0:59:44,30 %,22125.0
2025-03-26,23:03:24,Active,0:00:00,-,16.0
2025-03-26,23:15:00,Active,0:30:38,11 %,8215.0
2025-03-26,23:45:39,Connected standby,0:12:23,1 %,1047.0
2025-03-27,00:00:34,Connected standby,0:00:35,-,174.0
2025-03-27,00:01:09,Active,0:35:17,13 %,9913.0
2025-03-27,00:36:26,Connected standby,0:00:40,-,79.0
2025-03-27,00:37:06,Active,0:18:53,7 %,5440.0
2025-03-27,00:56:00,Connected standby,0:00:36,-,143.0
2025-03-27,00:56:36,Active,0:14:49,6 %,4504.0
2025-03-27,01:11:26,Connected standby,0:00:53,-,95.0
2025-03-27,01:12:19,Active,0:06:23,3 %,1919.0
2025-03-27,01:18:43,Connected standby,0:00:01,-,0.0
2025-03-27,01:18:44,Active,0:24:50,11 %,8231.0
2025-03-27,01:43:34,Connected standby,0:11:25,1 %,857.0
2025-03-27,01:54:59,Active,0:30:02,14 %,9928.0
2025-03-27,04:46:34,Active,0:00:34,1 %,491.0
2025-03-27,04:47:08,Connected standby,0:00:02,-,32.0
2025-03-27,04:57:45,Active,0:29:24,12 %,8786.0
2025-03-27,05:27:09,Connected standby,0:09:28,-,349.0
2025-03-27,06:12:48,Active,0:00:02,-,15.0
2025-03-27,07:16:56,Active,0:05:03,1 %,714.0
2025-03-27,07:22:00,Connected standby,0:00:00,-,0.0
2025-03-27,07:22:00,Active,0:04:01,1 %,1094.0
2025-03-27,07:26:02,Connected standby,0:01:43,-,111.0
2025-03-27,07:27:45,Active,0:11:18,4 %,2807.0
2025-03-27,07:39:04,Connected standby,0:00:44,-,175.0
2025-03-27,07:39:48,Active,0:07:49,3 %,1934.0
2025-03-27,07:47:38,Connected standby,0:04:25,1 %,445.0
2025-03-27,07:52:03,Active,0:06:45,2 %,1649.0
2025-03-27,07:58:49,Connected standby,0:07:40,1 %,555.0
2025-03-27,08:06:29,Active,0:38:54,13 %,9564.0
2025-03-27,08:45:23,Connected standby,0:08:53,1 %,666.0
2025-03-27,08:57:24,Connected standby,0:00:35,-,159.0
2025-03-27,08:57:59,Active,2:37:39,65 %,47945.0
2025-03-27,13:00:28,Active,0:00:17,-,143.0
2025-03-27,13:00:48,Active,0:00:03,-,31.0
2025-03-27,13:00:56,Active,0:52:44,15 %,11340.0
2025-03-27,13:53:40,Connected standby,0:01:13,-,191.0
2025-03-27,13:54:54,Active,0:16:19,5 %,3774.0
2025-03-27,14:11:13,Connected standby,0:35:57,1 %,714.0
2025-03-27,14:47:11,Active,0:00:31,-,238.0
2025-03-27,14:47:42,Connected standby,0:00:06,-,63.0
2025-03-27,14:47:49,Active,0:00:35,-,207.0
2025-03-27,14:48:24,Connected standby,0:00:00,-,0.0
2025-03-27,14:48:24,Active,0:00:44,-,237.0
2025-03-27,14:49:08,Connected standby,0:01:14,-,207.0
2025-03-27,14:50:23,Active,0:00:36,-,206.0
2025-03-27,14:50:59,Connected standby,0:16:37,1 %,904.0
2025-03-27,15:07:36,Active,0:00:30,-,206.0
2025-03-27,15:08:07,Connected standby,0:14:17,1 %,650.0
2025-03-27,15:22:24,Active,0:00:52,-,286.0
2025-03-27,15:23:16,Connected standby,0:00:55,-,174.0
2025-03-27,15:24:12,Active,0:00:36,-,206.0
2025-03-27,15:24:48,Connected standby,0:05:19,1 %,540.0
2025-03-27,15:30:08,Active,0:00:30,-,206.0
2025-03-27,15:30:38,Connected standby,0:05:11,1 %,571.0
2025-03-27,15:35:50,Active,0:03:00,2 %,1126.0
2025-03-27,15:38:50,Connected standby,0:18:09,1 %,999.0
2025-03-27,16:12:09,Connected standby,0:00:35,-,158.0
2025-03-27,16:12:44,Active,0:00:00,-,0.0
2025-03-27,16:12:44,Connected standby,0:07:23,1 %,428.0
2025-03-27,16:20:07,Active,0:00:31,-,222.0
2025-03-27,16:20:39,Connected standby,0:08:18,1 %,587.0
2025-03-27,16:28:57,Active,0:00:42,-,254.0
2025-03-27,16:29:40,Connected standby,0:00:37,-,127.0
2025-03-27,20:56:00,Active,0:00:54,1 %,666.0
2025-03-27,20:56:54,Connected standby,0:01:08,1 %,809.0
2025-03-27,20:58:03,Active,0:12:15,8 %,5916.0
2025-03-27,21:10:18,Connected standby,0:27:52,2 %,1570.0
2025-03-27,22:06:44,Connected standby,0:00:35,-,349.0
2025-03-27,22:07:19,Active,1:13:42,36 %,26280.0
2025-03-28,13:03:38,Active,0:01:19,1 %,603.0
2025-03-28,14:39:06,Active,0:09:02,3 %,2315.0
2025-03-28,14:48:08,Connected standby,0:26:08,2 %,1317.0
2025-03-28,15:14:16,Active,0:45:02,20 %,14972.0
2025-03-28,15:59:19,Connected standby,0:26:27,2 %,1776.0
2025-03-28,18:17:57,Connected standby,0:00:35,-,190.0
2025-03-28,18:19:07,Connected standby,0:00:35,-,285.0
2025-03-28,18:19:42,Active,0:00:00,-,0.0
2025-03-28,18:19:43,Connected standby,0:00:00,-,0.0
2025-03-28,18:19:43,Active,0:48:23,19 %,13687.0
2025-03-28,19:08:07,Connected standby,0:21:17,1 %,603.0
2025-03-28,19:29:24,Active,0:00:13,-,190.0
2025-03-28,19:31:02,Connected standby,0:00:31,-,142.0
2025-03-28,19:31:33,Active,0:00:31,-,238.0
2025-03-28,19:32:04,Connected standby,0:01:14,-,206.0
2025-03-28,19:33:19,Active,0:00:32,-,223.0
2025-03-28,19:33:51,Connected standby,0:00:36,-,142.0
2025-03-28,19:34:28,Active,0:00:31,-,222.0
2025-03-28,19:34:59,Connected standby,0:00:28,-,127.0
2025-03-28,19:35:27,Active,0:47:49,15 %,11419.0
2025-03-28,20:23:16,Connected standby,0:03:20,-,349.0
2025-03-28,20:26:37,Active,0:11:24,4 %,2903.0
2025-03-28,20:38:02,Connected standby,0:15:10,2 %,1284.0
2025-03-28,21:53:49,Connected standby,0:00:35,-,238.0
2025-03-28,21:54:59,Connected standby,0:00:35,-,254.0
2025-03-28,21:56:09,Connected standby,0:00:35,-,143.0
2025-03-28,21:56:44,Active,0:40:24,15 %,11308.0
2025-03-28,23:54:45,Active,0:27:34,11 %,7771.0
2025-03-28,00:23:16,Active,0:04:27,4 %,3029.0
2025-03-28,18:02:13,Active,1:48:42,43 %,31974.0
2025-03-31,12:15:23,Active,0:02:51,3 %,2411.0
2025-03-31,13:35:46,Active,0:04:00,1 %,968.0
2025-03-31,13:39:47,Connected standby,0:03:51,1 %,444.0
2025-03-31,13:43:38,Active,0:49:09,20 %,15146.0
2025-03-31,14:32:48,Connected standby,0:25:34,1 %,777.0
2025-03-31,14:59:00,Connected standby,0:00:35,-,254.0
2025-03-31,14:59:35,Active,0:30:29,13 %,9325.0
2025-03-31,15:30:04,Connected standby,0:27:13,1 %,555.0
2025-03-31,15:57:17,Active,1:51:28,49 %,36320.0
2025-03-31,18:17:24,Active,0:34:43,15 %,11086.0
2025-03-31,18:52:07,Connected standby,0:11:21,1 %,444.0
2025-03-31,19:03:28,Active,0:04:11,2 %,1221.0
2025-03-31,19:07:40,Connected standby,0:00:13,-,64.0
2025-03-31,19:07:54,Active,0:00:32,-,237.0
2025-03-31,19:08:26,Connected standby,0:03:21,1 %,540.0
2025-03-31,19:11:48,Active,0:00:09,-,95.0
2025-03-31,19:42:15,Active,0:17:11,7 %,5139.0
2025-03-31,20:02:00,Active,0:01:05,1 %,745.0
2025-03-31,20:03:05,Connected standby,0:28:45,4 %,2728.0
2025-04-01,07:41:41,Connected standby,0:00:35,-,317.0
2025-04-01,07:42:51,Connected standby,0:00:35,-,238.0
2025-04-01,07:43:27,Active,0:19:15,9 %,6582.0
2025-04-01,08:55:27,Active,0:00:57,1 %,714.0
2025-04-01,08:56:24,Connected standby,0:00:02,-,47.0
2025-04-01,08:56:26,Active,0:08:51,5 %,3331.0
2025-04-01,09:05:18,Connected standby,0:02:15,-,111.0
2025-04-01,09:07:34,Active,0:32:03,15 %,10848.0
2025-04-01,09:39:37,Connected standby,0:14:24,1 %,555.0
2025-04-01,09:54:01,Active,0:33:33,15 %,10849.0
2025-04-01,10:27:35,Connected standby,0:08:06,-,269.0
2025-04-01,10:35:42,Active,0:06:41,3 %,2236.0
2025-04-01,12:03:08,Active,0:00:55,1 %,682.0
2025-04-01,12:04:03,Connected standby,4:01:38,-,-1206.0
2025-04-01,16:06:17,Connected standby,0:00:35,-,-730.0
2025-04-01,16:28:01,Active,0:00:25,-,174.0
2025-04-01,16:51:35,Active,0:00:06,-,48.0
2025-04-01,16:52:04,Active,0:26:17,11 %,7787.0
2025-04-01,18:00:10,Active,0:50:31,27 %,19983.0
2025-04-02,08:11:39,Active,0:07:36,5 %,3568.0
2025-04-02,08:19:16,Connected standby,0:00:24,-,127.0
2025-04-02,08:19:40,Active,0:00:23,-,254.0
2025-04-02,12:09:24,Active,2:00:36,72 %,51656.0
2025-04-02,14:39:48,Active,0:08:48,6 %,4504.0
